contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes
0,0,1,6,2,56,0,1,0.739940073,1,2,0,8.188113543,10.42655414
1,0,1,6,1,66,0,3,-2.085285661,6,9,1,5.252630787,10.84545343
2,0,1,3,5,32,0,2,-0.067267279,4,6,2,4.035439964,6.543419792
3,0,1,4,4,89,0,1,0.739940073,1,2,3,2.709685945,3.450451323
4,0,1,5,3,55,0,1,0.739940073,1,2,4,8.624971433,10.98283886
5,0,1,2,6,108,0,2,-0.067267279,4,6,5,2.839779484,4.604669986
0,0,1,6,2,56,1,1,1.437277734,1,2,6,6.105223667,7.774250414
1,0,1,6,1,66,1,5,-0.780236484,5,10,7,2.619501383,8.770076137
2,0,1,3,5,32,1,6,-1.51940789,6,12,8,1.161760432,4.952885167
3,0,1,4,4,89,1,2,0.944496797,2,4,9,1.730816599,2.806499339
4,0,1,5,3,55,1,3,0.205325391,3,6,10,3.696371754,7.632142702
5,0,1,2,6,108,1,4,-0.287455547,4,8,11,0.555535615,1.460628236
0,0,1,6,2,56,2,2,0.629889779,2,4,12,3.54543529,5.748882812
1,0,1,6,1,66,2,4,-0.044992127,4,8,13,2.932927684,7.711327361
2,0,1,3,5,32,2,5,-1.84467721,5,10,14,0.645772533,2.162042866
3,0,1,4,4,89,2,1,1.07981105,1,2,15,1.849228586,2.354764851
4,0,1,5,3,55,2,3,0.179968508,3,6,16,2.933596415,6.05719012
0,0,1,6,2,56,3,3,-0.784464541,3,6,17,2.135710486,4.409742386
1,0,1,6,1,66,3,1,1.176696811,1,2,18,5.998031161,7.637753959
3,0,1,4,4,89,3,2,0.784464541,2,4,19,0.640218963,1.038107733
4,0,1,5,3,55,3,4,-1.176696811,4,8,20,1.82835808,4.807165129
0,0,1,6,2,56,4,1,1.382189481,1,2,21,3.408771362,4.340650501
1,0,1,6,1,66,4,2,-0.431934213,2,4,22,3.728657819,6.045976049
4,0,1,5,3,55,4,3,-0.950255268,3,6,23,1.214686669,2.508043729
0,0,1,6,2,56,5,2,-1,2,4,24,1.863059896,3.020930334
1,0,1,6,1,66,5,1,1,1,2,25,3.976281271,5.063304476
6,1,2,2,9,103,0,2,0.89043824,2,4,26,6.374343198,10.33592466
7,1,2,5,6,105,0,5,0.127205463,6,11,27,2.948302429,9.870900223
8,1,2,6,5,34,0,7,-0.381616388,8,15,28,1.462569778,7.939903417
9,1,2,7,4,73,0,6,-0.127205463,7,13,29,2.187695741,9.326712707
10,1,2,8,3,100,0,3,0.636027314,4,7,30,10.32504282,21.3187973
11,1,2,8,2,49,0,4,0.381616388,5,9,31,6.524763222,17.15507186
12,1,2,3,8,35,0,2,0.89043824,2,4,32,3.86585956,6.268447105
13,1,2,4,7,76,0,9,-1.908081942,10,19,33,1.045448679,9.202699374
14,1,2,8,1,27,0,1,1.144849165,1,2,34,19.79604431,25.20782432
15,1,2,1,10,67,0,8,-1.653671017,9,17,35,0.280695247,1.940397154
6,1,2,2,9,103,1,7,-1.307574978,8,15,36,0.447821808,2.431105824
7,1,2,5,6,105,1,5,-0.055641488,5,10,37,2.447559008,8.194414019
8,1,2,6,5,34,1,5,-0.055641488,5,10,38,2.201344543,7.370089351
9,1,2,7,4,73,1,6,-0.556414884,7,13,39,1.759252707,7.500149254
10,1,2,8,3,100,1,1,1.697065396,1,2,40,17.42182372,22.18454682
11,1,2,8,2,49,1,4,0.194745209,4,8,41,5.283620468,13.89182805
12,1,2,3,8,35,1,3,0.445131907,3,6,42,2.25287478,4.651659235
13,1,2,4,7,76,1,8,-1.557961675,9,17,43,1.173578729,8.112744524
14,1,2,8,1,27,1,2,1.196292001,2,4,44,10.24081548,16.60536529
7,1,2,5,6,105,2,2,0.767365737,3,5,45,4.525414629,7.337908114
8,1,2,6,5,34,2,4,-0.177084401,5,9,46,2.160659373,5.680860061
9,1,2,7,4,73,2,3,0.531253202,4,7,47,3.574382882,7.380264226
10,1,2,8,3,100,2,1,1.003478271,1,2,48,12.96522338,16.50961516
11,1,2,8,2,49,2,5,-0.885422004,7,12,49,2.770526042,9.275705861
12,1,2,3,8,35,2,4,-0.177084401,5,9,50,0.585631333,1.539756657
13,1,2,4,7,76,2,6,-2.065984676,8,14,51,1.570404523,6.695040608
14,1,2,8,1,27,2,1,1.003478271,1,2,52,11.87949421,15.12707278
7,1,2,5,6,105,3,3,0.386963736,4,7,53,2.678348287,5.530162465
8,1,2,6,5,34,3,5,-0.250388299,6,11,54,1.416216918,4.741486408
9,1,2,7,4,73,3,2,0.546301744,2,4,55,4.307664764,6.984829195
10,1,2,8,3,100,3,2,0.546301744,2,4,56,7.935677116,12.86760977
11,1,2,8,2,49,3,4,0.227625727,5,9,57,3.344176526,8.792593178
13,1,2,4,7,76,3,6,-2.321782413,7,13,58,0.655970294,2.796571007
14,1,2,8,1,27,3,1,0.864977762,1,2,59,9.321786624,11.87014718
7,1,2,5,6,105,4,6,-1.185187437,6,12,60,0.586329393,2.499673832
8,1,2,6,5,34,4,4,-0.436648003,4,8,61,1.601626374,4.211036417
9,1,2,7,4,73,4,3,-0.062378286,3,6,62,2.662433948,5.497303078
10,1,2,8,3,100,4,1,1.808970299,1,2,63,8.979926071,11.43482987
11,1,2,8,2,49,4,5,-0.81091772,5,10,64,2.180246652,7.299453728
14,1,2,8,1,27,4,2,0.686161148,2,4,65,5.425731785,8.797762095
8,1,2,6,5,34,5,3,-1.147638084,4,7,66,1.02765608,2.121869329
9,1,2,7,4,73,5,2,0.127515343,3,5,67,3.031639903,4.915769463
10,1,2,8,3,100,5,1,1.083880412,1,2,68,7.886769928,10.04283016
11,1,2,8,2,49,5,3,-1.147638084,4,7,69,3.266162066,6.743860366
14,1,2,8,1,27,5,1,1.083880412,1,2,70,6.49782147,8.274175364
9,1,2,7,4,73,6,2,0.34299717,3,5,71,1.321113957,2.142171187
10,1,2,8,3,100,6,1,0.685994341,1,2,72,7.339387061,9.345805495
11,1,2,8,2,49,6,3,-1.714985851,4,7,73,3.160714516,6.52613585
14,1,2,8,1,27,6,1,0.685994341,1,2,74,5.83446026,7.429466562
10,1,2,8,3,100,7,2,0.539171766,2,4,75,4.076225534,6.609553128
11,1,2,8,2,49,7,3,-1.40182718,3,6,76,2.473442823,5.107080631
14,1,2,8,1,27,7,1,0.862655414,1,2,77,4.7571564,6.057652779
16,2,28,8,7,64,0,7,-0.498493,9,16,78,1.763213879,9.572020503
17,2,28,10,5,42,0,1,1.61277147,1,2,79,20.69762095,26.35587114
18,2,28,11,2,65,0,6,-0.146615588,7,13,80,5.144773488,21.93349988
19,2,28,2,11,90,0,7,-0.498493,9,16,81,1.618757227,8.787803652
20,2,28,4,10,69,0,9,-1.906002646,12,21,82,1.138243672,10.0195395
21,2,28,6,9,93,0,4,0.557139235,4,8,83,3.310470734,8.703973062
22,2,28,9,6,96,0,8,-1.554125235,11,19,84,2.626387782,18.15575945
23,2,28,2,12,75,0,5,0.205261823,5,10,85,2.207435309,7.390481203
24,2,28,11,4,70,0,3,0.909016647,3,6,86,21.23748878,43.85044464
25,2,28,11,3,3,0,6,-0.146615588,7,13,87,5.542268236,23.62812279
26,2,28,7,8,63,0,5,0.205261823,5,10,88,4.470691791,14.96785138
27,2,28,11,1,36,0,2,1.260894058,2,4,89,32.55707481,52.79092481
16,2,28,8,7,64,1,2,0.883541262,2,4,90,8.10724962,13.14581262
17,2,28,10,5,42,1,3,0.56225353,3,6,91,8.226709965,16.98623098
18,2,28,11,2,65,1,3,0.56225353,3,6,92,11.4974641,23.73957289
19,2,28,2,11,90,1,7,-1.044185128,10,17,93,0.613864714,3.33250872
20,2,28,4,10,69,1,8,-2.008048322,12,20,94,1.41035913,9.749566031
21,2,28,6,9,93,1,5,-0.080321933,8,13,95,1.767727478,5.918341817
22,2,28,9,6,96,1,6,-0.722897396,9,15,96,3.922606126,16.72308435
23,2,28,2,12,75,1,7,-1.044185128,10,17,97,0.500676813,2.718041623
24,2,28,11,4,70,1,4,0.240965799,6,10,98,10.3057374,27.09610443
25,2,28,11,3,3,1,3,0.56225353,3,6,99,12.89762791,26.63058353
26,2,28,7,8,63,1,4,0.240965799,6,10,100,4.140736068,10.8869276
27,2,28,11,1,36,1,1,1.847404456,1,2,101,35.58055561,45.30745543
16,2,28,8,7,64,2,1,1.064742266,1,2,102,8.859960181,11.28206809
17,2,28,10,5,42,2,2,0.811232203,3,5,103,7.92384376,12.84842212
18,2,28,11,2,65,2,4,0.050702013,6,10,104,5.582413032,14.67742099
20,2,28,4,10,69,2,7,-1.977378494,10,17,105,1.302608357,7.071515286
21,2,28,6,9,93,2,2,0.811232203,3,5,106,3.663531435,5.940374362
22,2,28,9,6,96,2,6,-1.216848304,9,15,107,2.856040984,12.17604132
24,2,28,11,4,70,2,4,0.050702013,6,10,108,7.867211888,20.68467171
25,2,28,11,3,3,2,1,1.064742266,1,2,109,18.91266229,24.08294613
26,2,28,7,8,63,2,5,-0.96333824,8,13,110,2.00394636,6.709201326
27,2,28,11,1,36,2,3,0.304212076,5,8,111,11.53265285,23.81222943
16,2,28,8,7,64,3,4,-0.505246733,8,12,112,2.206048225,5.800197576
17,2,28,10,5,42,3,3,-0.045931521,6,9,113,4.115136288,8.496793469
18,2,28,11,2,65,3,1,0.872698903,1,2,114,14.48798157,18.44866018
20,2,28,4,10,69,3,6,-1.88319237,10,16,115,0.765705682,3.264401343
21,2,28,6,9,93,3,2,0.643041297,5,7,116,2.723490515,4.416108751
22,2,28,9,6,96,3,5,-1.653534764,9,14,117,3.208391623,10.74167741
24,2,28,11,4,70,3,1,0.872698903,1,2,118,20.56092351,26.18180378
25,2,28,11,3,3,3,1,0.872698903,1,2,119,15.01696839,19.12225974
26,2,28,7,8,63,3,3,-0.045931521,6,9,120,3.474079225,7.173160646
27,2,28,11,1,36,3,1,0.872698903,1,2,121,21.39587146,27.24500717
16,2,28,8,7,64,4,4,0.045834925,5,9,122,1.963058331,5.161322424
17,2,28,10,5,42,4,2,0.870863572,2,4,123,5.638711111,9.143105638
18,2,28,11,2,65,4,2,0.870863572,2,4,124,8.362626561,13.55990342
21,2,28,6,9,93,4,4,0.045834925,5,9,125,1.216535507,3.198545805
22,2,28,9,6,96,4,7,-2.016736693,9,16,126,1.506502842,8.178404367
24,2,28,11,4,70,4,5,-0.366679399,7,12,127,3.632235312,12.16070373
25,2,28,11,3,3,4,1,1.283377896,1,2,128,12.28607757,15.64480662
26,2,28,7,8,63,4,6,-1.191708046,8,14,129,1.098341206,4.682512604
27,2,28,11,1,36,4,3,0.458349249,4,7,130,7.994434731,16.50663698
16,2,28,8,7,64,5,1,0.912870929,1,2,131,4.802196351,6.115005609
17,2,28,10,5,42,5,1,0.912870929,1,2,132,6.928643136,8.822773695
18,2,28,11,2,65,5,2,0.365148372,4,6,133,6.092299635,9.878594246
21,2,28,6,9,93,5,1,0.912870929,1,2,134,0.907587399,1.155700773
22,2,28,9,6,96,5,5,-2.373464416,9,14,135,2.364896799,7.917661398
24,2,28,11,4,70,5,2,0.365148372,4,6,136,8.292077624,13.44550912
25,2,28,11,3,3,5,3,-0.182574186,6,9,137,4.444525144,9.176904378
26,2,28,7,8,63,5,3,-0.182574186,6,9,138,2.595850303,5.359823432
27,2,28,11,1,36,5,4,-0.730296743,8,12,139,4.142228886,10.89085255
16,2,28,8,7,64,6,5,-0.645497224,7,12,140,1.233494122,4.129731497
17,2,28,10,5,42,6,1,0.903696114,1,2,141,5.933434555,7.555498137
18,2,28,11,2,65,6,3,0.129099445,5,8,142,3.756459165,7.756209143
22,2,28,9,6,96,6,6,-2.194690563,8,14,143,1.703042726,7.260511569
24,2,28,11,4,70,6,1,0.903696114,1,2,144,11.5993459,14.77033842
25,2,28,11,3,3,6,1,0.903696114,1,2,145,8.617779658,10.97368102
26,2,28,7,8,63,6,4,-0.387298335,6,10,146,0.634519826,1.668295512
27,2,28,11,1,36,6,2,0.387298335,4,6,147,7.864411333,12.75205312
16,2,28,8,7,64,7,5,-0.386527506,5,10,148,0.55642401,1.862904509
17,2,28,10,5,42,7,1,1.089224295,1,2,149,4.976646406,6.337146269
18,2,28,11,2,65,7,4,0.597307028,4,8,150,2.761065323,7.259462514
22,2,28,9,6,96,7,7,-1.862230117,7,14,151,1.308748376,7.104847822
24,2,28,11,4,70,7,6,-0.878395582,6,12,152,2.259060806,9.630960438
25,2,28,11,3,3,7,3,0.59735622,3,6,153,4.026648728,8.314087366
27,2,28,11,1,36,7,2,0.843265662,2,4,154,7.633826048,12.37816171
17,2,28,10,5,42,8,3,0.268672278,3,6,155,2.58570604,5.338877903
18,2,28,11,2,65,8,2,0.483610101,2,4,156,4.717643678,7.649605319
22,2,28,9,6,96,8,6,-2.09564377,6,12,157,0.782377142,3.335476088
24,2,28,11,4,70,8,5,0.053734456,5,10,158,2.818896283,9.437649161
25,2,28,11,3,3,8,1,1.128423568,1,2,159,6.721369235,8.558835909
27,2,28,11,1,36,8,4,0.161203367,4,8,160,3.729589237,9.805929989
17,2,28,10,5,42,9,4,-1.4509525,5,9,161,1.002038285,2.634584306
